name,address,domain,website,phone_number,whatsapp_link,category,location,reviews_count,reviews_average,latitude,longitude
Original Imóveis - Imobiliária Curitiba,"Av. Silva Jardim, 4377 - Seminário, Curitiba - PR, 80240-021, Brasil",,https://www.originalimoveis.com.br/,+554132235015,,Imobiliária,Imobiliária in curitiba,204,3.8,-25.4527039,-49.3013061
Imobiliária Paradiso Imóveis Curitiba,"R. Lamenha Lins, 266 - Centro, Curitiba - PR, 80250-020, Brasil",,https://www.paradisoimoveis.com.br/,+5541992653757,,Imobiliária,Imobiliária in curitiba,46,4.8,-25.4391176,-49.2762717
RE/MAX Start - Imobiliária Curitiba,"R. Des. Westphalen, 622 - Cj 23 - Centro, Curitiba - PR, 80010-110, Brasil",,https://www.remax.com.br/listings?OfficeID=56035&TransactionTypeUID=-1&ListingClass=-1,+5541999402002,,Imobiliária,Imobiliária in curitiba,305,4.8,-25.4382318,-49.2706584
Gonzaga,"Av. Sete de Setembro, 3695 - Rebouças, Curitiba - PR, 80230-010, Brasil",,https://www.gonzagaimoveis.com.br/?utm_source=google&utm_medium=google_meu_negocio,+554130132222,,Imobiliária,Imobiliária in curitiba,7118,4.6,-25.4408236,-49.2743022
Imobiliária Studios Curitiba,"Av. Visc. de Guarapuava, 2305 - Centro, Curitiba - PR, 80010-100, Brasil",,https://www.studioscuritiba.com.br/,+5541996989292,,Imobiliária,Imobiliária in curitiba,72,5.0,-25.4350817,-49.2636299
Apolar Imóveis Champagnat - Imobiliária Curitiba,"Alameda Pres. Taunay, 1148 - Bigorrilho, Curitiba - PR, 80430-000, Brasil",,https://www.apolar.com.br/champagnat,+554133357190,,Imobiliária,Imobiliária in curitiba,169,4.9,-25.4298339,-49.2880118
Apolar Imóveis Água Verde - Imobiliária em Curitiba,"R. Santa Catarina, 65 - Lojas 01 e 02 - Água Verde, Curitiba - PR, 80620-100, Brasil",,https://www.apolar.com.br/franquias/aguaverde,+554132701600,,Imobiliária,Imobiliária in curitiba,181,4.4,-25.4606494,-49.2886197
Bellos Imóveis - Imobiliária em Curitiba,"Rua Frederico Cantarelli, 246 - Bigorrilho, Curitiba - PR, 80710-240, Brasil",,http://www.bellosimoveis.com.br/,+554130195254,,Imobiliária,Imobiliária in curitiba,394,4.6,-25.4285563,-49.2966088
Web Imoveis - Imobiliária Curitiba,"Rua Cyro Correia Pereira, 3500 - Administração Regional da Cidade Industrial de Curitiba, Curitiba - PR, 81460-050, Brasil",,https://www.imoveisweb.net.br/,+554132681427,,Imobiliária,Imobiliária in curitiba,97,4.6,-25.5437654,-49.3387327
Imobiliária First Class - Imobiliária em Curitiba - Imóveis de Alto Padrão,"R. Nunes Machado, 68 - Sala 314 - Batel, Curitiba - PR, 80250-000, Brasil",,https://firstclassimoveis.com.br/,+5541995440272,,Imobiliária,Imobiliária in curitiba,94,5.0,-25.4381369,-49.2754104
